season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1985,"New York Knicks",82,3329,6732,67,229,2282,3006,1219,2401,3620,2143,667,446,1589,2038,9007
1985,"Phoenix Suns",82,3605,7309,65,224,1756,2295,1125,2416,3541,2181,771,410,1468,2019,9031
1985,"Los Angeles Lakers",82,3665,7639,84,297,1679,2244,1248,2078,3326,2313,756,370,1365,1905,9093
1985,"Cleveland Cavaliers",82,3547,7415,70,253,1965,2554,1210,2451,3661,2215,612,429,1357,2101,9129
1985,"Los Angeles Clippers",82,3737,7630,74,263,1604,2115,1248,2282,3530,2264,770,422,1242,1887,9152
1985,"Portland Trail Blazers",82,3697,7494,59,232,1737,2269,1264,2340,3604,2235,726,459,1607,2160,9190
1985,"Detroit Pistons",82,3700,7457,78,249,1826,2404,1109,2563,3672,2107,642,508,1486,2017,9304
1985,"San Antonio Spurs",82,3644,7348,72,242,1977,2548,1136,2265,3401,2283,749,472,1489,2154,9337
1985,"Indiana Pacers",82,3628,7332,64,200,2068,2707,1098,2583,3681,2242,777,523,1424,2072,9388
1985,"Kansas City Kings",82,3805,7461,65,259,1957,2546,1166,2267,3433,2344,761,512,1424,2205,9632
1985,"Denver Nuggets",82,3775,7379,64,254,2027,2648,1181,2628,3809,2154,670,589,1744,2178,9641
1985,"Golden State Warriors",82,3839,7165,57,220,1919,2530,1101,2521,3622,2336,650,469,1583,2180,9654
1986,"New York Knicks",82,3192,6672,68,274,2102,2744,1166,2587,3753,2007,701,444,1629,2018,8554
1986,"Seattle SuperSonics",82,3301,6774,57,224,1913,2491,1027,2308,3335,2038,654,406,1467,2008,8572
1986,"Boston Celtics",82,3444,7476,82,304,1617,2162,1089,2317,3406,1924,725,341,1258,1966,8587
1986,"Washington Bullets",82,3435,7360,71,259,1649,2181,1249,2591,3840,2014,712,454,1373,1907,8590
1986,"Milwaukee Bucks",82,3286,7043,97,329,1980,2674,1169,2325,3494,1952,633,397,1631,2139,8649
1986,"Atlanta Hawks",82,3360,7074,87,283,1905,2508,1202,2329,3531,1945,697,371,1494,2129,8712
1986,"Indiana Pacers",82,3372,7123,73,275,1975,2571,1050,2479,3529,2057,745,445,1315,1909,8792
1986,"Philadelphia 76ers",82,3615,7328,82,282,1546,2041,1189,2228,3417,2255,802,469,1520,2187,8858
1986,"Utah Jazz",82,3470,7339,65,251,1896,2483,1208,2510,3718,1977,752,464,1529,2221,8901
1986,"Los Angeles Lakers",82,3577,7450,51,247,1778,2369,1104,2226,3330,2235,792,359,1330,1992,8983
1986,"Cleveland Cavaliers",82,3435,7239,86,297,2115,2758,1131,2494,3625,2122,711,364,1331,1945,9071
1986,"New Jersey Nets",82,3504,7124,96,316,2008,2622,1036,2369,3405,2019,783,390,1523,2002,9112
1986,"Houston Rockets",82,3638,7402,87,268,1802,2406,1190,2389,3579,2196,683,386,1464,1977,9165
1986,"Sacramento Kings",82,3566,7225,73,281,1971,2609,1142,2339,3481,2118,751,478,1409,2083,9176
1986,"Detroit Pistons",82,3620,7365,71,258,1956,2589,1180,2538,3718,2083,662,500,1490,1977,9267
1986,"Phoenix Suns",82,3569,7307,89,279,2041,2692,1137,2265,3402,2149,841,467,1515,2216,9268
1986,"San Antonio Spurs",82,3629,7365,98,322,1916,2491,1157,2304,3461,2269,800,454,1519,2108,9272
1986,"Chicago Bulls",82,3601,7138,70,233,2002,2627,1104,2362,3466,2170,664,491,1298,2002,9274
1986,"Denver Nuggets",82,3638,7404,60,262,1967,2693,1295,2732,4027,2106,639,484,1741,2117,9303
1986,"Portland Trail Blazers",82,3637,7249,83,248,1992,2638,1179,2362,3541,2254,760,426,1645,2262,9349
1986,"Dallas Mavericks",82,3864,7689,90,311,1545,2049,1219,2469,3688,2381,617,423,1279,2196,9363
1986,"Los Angeles Clippers",82,3849,7588,73,261,1704,2280,1268,2458,3726,2469,760,457,1396,2113,9475
1986,"Golden State Warriors",82,3863,7432,65,229,1791,2401,1170,2519,3689,2325,692,442,1487,2069,9582
1987,"Atlanta Hawks",82,3158,6998,128,426,1987,2598,1196,2277,3473,1917,619,385,1314,2034,8431
1987,"Chicago Bulls",82,3337,6910,115,337,1734,2255,1027,2317,3344,2028,583,492,1269,1844,8523
1987,"Houston Rockets",82,3348,7225,100,355,1887,2422,1167,2364,3531,2126,721,368,1366,1922,8683
1987,"Boston Celtics",82,3470,7500,124,405,1628,2148,1237,2287,3524,2060,722,338,1156,1911,8692
1987,"Milwaukee Bucks",82,3247,6906,120,415,2117,2796,1191,2477,3668,2014,659,460,1551,2024,8731
1987,"Philadelphia 76ers",82,3537,7204,119,416,1552,2049,1214,2202,3416,2202,813,446,1372,1982,8745
1987,"Indiana Pacers",82,3344,6969,103,345,1960,2584,1117,2584,3701,2019,660,472,1416,1852,8751
1987,"Washington Bullets",82,3522,7453,104,358,1654,2183,1334,2483,3817,2144,699,548,1439,1938,8802
1987,"Utah Jazz",82,3347,7338,143,451,1974,2564,1310,2637,3947,2011,718,457,1579,1992,8811
1987,"Detroit Pistons",82,3376,7307,133,419,1951,2608,1143,2339,3482,2029,670,472,1294,2067,8836
1987,"Cleveland Cavaliers",82,3556,7441,95,342,1664,2209,1254,2396,3650,2056,810,479,1398,2076,8871
1987,"Los Angeles Lakers",82,3520,7531,122,431,1731,2265,1280,2174,3454,2212,721,404,1370,2004,8893
